Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
89,1,0.8886043218063845,0.0011145052095519106,100.47003469467163,0.3529893149638065,1.531050443649292,0.09266487319292702,SAMME.R,1.03,50,"{'algorithm': 'SAMME.R', 'learning_rate': 1.03, 'n_estimators': 50}",0.8871615804075385,0.8875510789793771,0.8888418146657464,0.889279149383973,0.8901879855952877
83,2,0.888533253112268,0.0007644008446009746,100.00704431533813,0.9828288644707399,1.4160002231597901,0.02201684227881423,SAMME.R,1.02,50,"{'algorithm': 'SAMME.R', 'learning_rate': 1.02, 'n_estimators': 50}",0.8880704104084952,0.8879610774760492,0.8877553112251522,0.889183482414361,0.8896959840372828
65,3,0.8882216542734751,0.0010161513619787173,101.93467569351196,0.9402087106107754,1.5121280193328857,0.13738332570962442,SAMME.R,0.99,50,"{'algorithm': 'SAMME.R', 'learning_rate': 0.99, 'n_estimators': 50}",0.8874075795055418,0.8870522474750926,0.8878236447748751,0.8891493156394995,0.889675483972366
71,4,0.8881314526430414,0.0011086181399431795,99.29993047714234,0.782714995255087,1.4331541061401367,0.02648492311132769,SAMME.R,1.0,50,"{'algorithm': 'SAMME.R', 'learning_rate': 1.0, 'n_estimators': 50}",0.8876399119869893,0.8878039113856583,0.8865321406851122,0.8889443149903308,0.8897369841671166
77,5,0.8880822531222851,0.0006263600051319742,97.88034472465515,1.0635312931324106,1.4517045497894288,0.055307878847515736,SAMME.R,1.01,50,"{'algorithm': 'SAMME.R', 'learning_rate': 1.01, 'n_estimators': 50}",0.8874144128138197,0.8875647455959328,0.8877758112900691,0.8886846475013838,0.8889716484102199
95,6,0.8880754186373079,0.0009823477131191741,79.47213764190674,4.134333323791868,0.7148861885070801,0.043272380020094814,SAMME.R,1.04,50,"{'algorithm': 'SAMME.R', 'learning_rate': 1.04, 'n_estimators': 50}",0.8877082450697681,0.8880977436416067,0.8869353086284774,0.88774847787018,0.8898873179765069
94,7,0.8879578855014563,0.0008336124473066536,82.38383779525756,0.5200400971581656,0.982763671875,0.1354338975589739,SAMME.R,1.04,45,"{'algorithm': 'SAMME.R', 'learning_rate': 1.04, 'n_estimators': 45}",0.8874827458965984,0.8879064110098263,0.8869899754682556,0.8879329784544318,0.8894773166781694
93,8,0.8878417190365994,0.000941712996022226,77.74032034873963,1.294277274423979,1.001838493347168,0.06771338988921376,SAMME.R,1.04,40,"{'algorithm': 'SAMME.R', 'learning_rate': 1.04, 'n_estimators': 40}",0.8870659140916484,0.8879064110098263,0.886880641788699,0.8878099780649306,0.8895456502278923
70,9,0.8876216855761634,0.001438158875554779,89.77927975654602,0.6334205782479085,1.302704429626465,0.056570133048728426,SAMME.R,1.0,45,"{'algorithm': 'SAMME.R', 'learning_rate': 1.0, 'n_estimators': 45}",0.8875647455959328,0.8869907477005917,0.8853568036298781,0.8886231473066332,0.8895729836477816
59,10,0.8875875185024578,0.0009542651004604999,101.03228254318238,0.9000088102893513,1.4560925006866454,0.06719615377041112,SAMME.R,0.98,50,"{'algorithm': 'SAMME.R', 'learning_rate': 0.98, 'n_estimators': 50}",0.8873734129641525,0.887400746197264,0.8870104755331725,0.8867234746243363,0.8894294831933635
64,11,0.8874016517421722,0.0007825300674470545,91.14661078453064,1.3513756146014368,1.3906853199005127,0.07803542848665754,SAMME.R,0.99,45,"{'algorithm': 'SAMME.R', 'learning_rate': 0.99, 'n_estimators': 45}",0.8874280794303754,0.8869839143923139,0.8862314730663314,0.8877963113549859,0.8885684804668548
53,12,0.8873141849386101,0.0010260989696136617,98.33452219963074,0.870023260957994,1.5241100788116455,0.061299027194577374,SAMME.R,0.97,50,"{'algorithm': 'SAMME.R', 'learning_rate': 0.97, 'n_estimators': 50}",0.8871820803323721,0.8871274138661491,0.886812308238976,0.8862041396464422,0.8892449826091116
82,13,0.8871966510089537,0.001018061795476534,90.02863631248474,1.1853570460241831,1.289323616027832,0.03642046542272655,SAMME.R,1.02,45,"{'algorithm': 'SAMME.R', 'learning_rate': 1.02, 'n_estimators': 45}",0.8872504134151508,0.8872230801820393,0.8863954735856664,0.8860948059668856,0.889019481895026
81,14,0.8870900510449411,0.001145762444392969,79.84953446388245,0.5011907125388345,1.1588902473449707,0.010497947594461163,SAMME.R,1.02,40,"{'algorithm': 'SAMME.R', 'learning_rate': 1.02, 'n_estimators': 40}",0.8878312446187697,0.8863689166473057,0.8866414743646688,0.8856916380235204,0.8889169815704416
88,15,0.8870859525355183,0.0011648189951840224,90.23833923339843,0.6292370841440612,1.3373692512512207,0.03319882922182587,SAMME.R,1.03,45,"{'algorithm': 'SAMME.R', 'learning_rate': 1.03, 'n_estimators': 45}",0.8866832488280876,0.8864167498052508,0.8874204768315099,0.8857531382182711,0.8891561489944718
76,16,0.887013517525285,0.0008390706388017956,87.41183347702027,0.4534460975641035,1.3044991970062256,0.02851713347614023,SAMME.R,1.01,45,"{'algorithm': 'SAMME.R', 'learning_rate': 1.01, 'n_estimators': 45}",0.8874827458965984,0.8866764155198098,0.8862793065511374,0.8862041396464422,0.8884249800124367
52,17,0.886980718289934,0.0008851485797431286,87.99327263832092,0.2714252841973379,1.265404462814331,0.02531260344366976,SAMME.R,0.97,45,"{'algorithm': 'SAMME.R', 'learning_rate': 0.97, 'n_estimators': 45}",0.8867242486777549,0.8867994150688114,0.886081139256941,0.886620974299752,0.8886778141464114
