oTime,o,h,l,c,v
2019-08-27T09:00:00,10590.0,10590.0,10590.0,10590.0,250
2019-08-27T09:30:00,10590.0,10598.0,10500.0,10598.0,44761
2019-08-27T10:00:00,10597.0,10600.0,10597.0,10600.0,11675
2019-08-27T10:30:00,10600.0,10659.0,10600.0,10659.0,8560
2019-08-27T11:00:00,10663.0,10754.0,10663.0,10754.0,57421
2019-08-27T11:30:00,10754.0,10755.0,10700.0,10705.0,51942
2019-08-27T12:00:00,10705.0,10705.0,10600.0,10610.0,54996
2019-08-28T09:00:00,10755.0,10755.0,10639.0,10650.0,112036
2019-08-28T09:30:00,10650.0,10690.0,10650.0,10690.0,12620
2019-08-28T10:00:00,10698.0,10698.0,10660.0,10698.0,33318
2019-08-28T10:30:00,10660.0,10704.0,10660.0,10704.0,27895
2019-08-28T11:00:00,10700.0,10704.0,10700.0,10703.0,4892
2019-08-28T11:30:00,10703.0,10704.0,10665.0,10704.0,19562
2019-08-28T12:00:00,10700.0,10704.0,10640.0,10704.0,65718
2019-08-31T11:00:00,11082.0,11082.0,11081.0,11081.0,11976
2019-08-31T11:30:00,11082.0,11100.0,11082.0,11085.0,24941
2019-08-31T12:00:00,11099.0,11107.0,11098.0,11107.0,10760
2019-09-01T09:00:00,11111.0,11325.0,11111.0,11300.0,12324
2019-09-01T09:30:00,11300.0,11325.0,11300.0,11300.0,19526
2019-09-01T10:00:00,11300.0,11325.0,11300.0,11325.0,4940
2019-09-01T10:30:00,11300.0,11332.0,11300.0,11306.0,12393
2019-09-01T11:00:00,11312.0,11350.0,11310.0,11320.0,45969
2019-09-01T11:30:00,11310.0,11390.0,11282.0,11389.0,58230
2019-09-01T12:00:00,11344.0,11344.0,11290.0,11310.0,8427
2019-09-02T09:00:00,11400.0,11525.0,11400.0,11500.0,9490
2019-09-02T09:30:00,11431.0,11432.0,11398.0,11398.0,179372
2019-09-02T10:00:00,11395.0,11400.0,11360.0,11360.0,117128
2019-09-02T10:30:00,11320.0,11320.0,11120.0,11120.0,75033
2019-09-02T11:00:00,11120.0,11300.0,11118.0,11300.0,73591
2019-09-02T11:30:00,11300.0,11300.0,11241.0,11241.0,8009
2019-09-02T12:00:00,11238.0,11300.0,11238.0,11300.0,4748
2019-09-03T11:00:00,11544.0,11544.0,11500.0,11500.0,767
2019-09-04T11:30:00,11422.0,11422.0,11391.0,11391.0,22716
2019-09-04T12:00:00,11450.0,11470.0,11450.0,11470.0,10000
2019-09-08T09:00:00,11649.0,11654.0,11602.0,11602.0,41294
2019-09-08T09:30:00,11700.0,11700.0,11612.0,11614.0,3647
2019-09-08T10:00:00,11700.0,11736.0,11616.0,11616.0,3929
2019-09-08T10:30:00,11620.0,11650.0,11620.0,11650.0,2772
2019-09-08T11:00:00,11719.0,11734.0,11645.0,11645.0,15084
2019-09-08T11:30:00,11647.0,11720.0,11647.0,11666.0,4247
2019-09-08T12:00:00,11720.0,11735.0,11671.0,11735.0,14205
2019-09-11T10:30:00,12230.0,12230.0,12230.0,12230.0,10211
2019-09-11T11:00:00,12235.0,12289.0,12235.0,12270.0,29315
2019-09-11T11:30:00,12275.0,12295.0,12150.0,12150.0,39965
2019-09-11T12:00:00,12220.0,12270.0,12220.0,12270.0,128205
2019-09-14T09:30:00,12420.0,12480.0,12415.0,12480.0,101750
2019-09-14T10:00:00,12432.0,12490.0,12432.0,12480.0,18218
2019-09-14T10:30:00,12479.0,12500.0,12461.0,12500.0,211547
2019-09-14T11:00:00,12500.0,12638.0,12500.0,12600.0,19477
2019-09-14T11:30:00,12628.0,12630.0,12600.0,12600.0,101233
2019-09-14T12:00:00,12600.0,12600.0,12590.0,12600.0,28316
2019-09-15T09:00:00,12638.0,12640.0,12010.0,12150.0,174617
2019-09-15T09:30:00,12260.0,12310.0,12155.0,12310.0,17393
2019-09-15T10:00:00,12310.0,12310.0,12310.0,12310.0,8019
2019-09-15T10:30:00,12310.0,12310.0,12310.0,12310.0,105
2019-09-15T11:00:00,12319.0,12378.0,12318.0,12378.0,15853
2019-09-15T11:30:00,12378.0,12400.0,12378.0,12400.0,71939
2019-09-15T12:00:00,12400.0,12439.0,12399.0,12435.0,10243
2019-09-16T09:00:00,12431.0,12431.0,12415.0,12415.0,11580
2019-09-16T09:30:00,12415.0,12500.0,12404.0,12499.0,18606
2019-09-16T10:00:00,12499.0,12499.0,12450.0,12450.0,3173
2019-09-16T10:30:00,12445.0,12445.0,12420.0,12420.0,918
2019-09-16T11:00:00,12440.0,12460.0,12440.0,12460.0,7606
2019-09-17T09:00:00,12565.0,12565.0,12400.0,12400.0,69062
2019-09-17T09:30:00,12375.0,12540.0,12375.0,12540.0,2400
2019-09-18T09:00:00,12371.0,12371.0,12255.0,12255.0,123933
2019-09-18T09:30:00,12260.0,12260.0,12200.0,12200.0,52942
2019-09-18T10:00:00,12231.0,12231.0,12195.0,12195.0,12546
2019-09-18T10:30:00,12200.0,12200.0,12184.0,12195.0,9500
2019-09-18T11:00:00,12200.0,12200.0,12184.0,12184.0,7783
2019-09-18T11:30:00,12244.0,12244.0,12163.0,12163.0,526
2019-09-18T12:00:00,12163.0,12240.0,12070.0,12120.0,34903
2019-09-21T12:00:00,12101.0,12248.0,12081.0,12081.0,49322
2019-09-22T09:30:00,12180.0,12180.0,12151.0,12151.0,3642
2019-09-22T10:00:00,12151.0,12218.0,12100.0,12218.0,20477
2019-09-22T10:30:00,12093.0,12218.0,11975.0,12199.0,76118
2019-09-22T11:00:00,12010.0,12197.0,11961.0,12197.0,24534
2019-09-22T11:30:00,12051.0,12197.0,12051.0,12197.0,1111
2019-09-22T12:00:00,12055.0,12100.0,12050.0,12100.0,23569
2019-09-23T09:00:00,12050.0,12220.0,12050.0,12220.0,23176
2019-09-23T09:30:00,12130.0,12400.0,12130.0,12400.0,31856
2019-09-23T10:00:00,12400.0,12499.0,12400.0,12499.0,13313
2019-09-23T10:30:00,12400.0,12400.0,12400.0,12400.0,967
2019-09-23T11:00:00,12400.0,12490.0,12320.0,12320.0,2000
2019-09-23T11:30:00,12400.0,12400.0,12350.0,12400.0,21500
2019-09-23T12:00:00,12488.0,12490.0,12488.0,12490.0,8000
2019-09-23T12:30:00,12488.0,12488.0,12488.0,12488.0,10000
2019-09-25T09:00:00,13054.0,13055.0,13000.0,13005.0,92213
2019-09-25T09:30:00,13040.0,13040.0,12950.0,12950.0,268119
2019-09-25T10:00:00,12949.0,12950.0,12848.0,12848.0,208386
2019-09-25T10:30:00,12848.0,12848.0,12829.0,12830.0,385122
2019-09-25T11:00:00,12830.0,12830.0,12826.0,12828.0,104687
2019-09-25T11:30:00,12827.0,12828.0,12827.0,12828.0,10930
2019-09-25T12:00:00,12830.0,12830.0,12829.0,12830.0,25560
2019-09-28T11:00:00,13174.0,13175.0,13174.0,13175.0,3250
2019-09-28T11:30:00,13175.0,13175.0,13169.0,13170.0,202395
2019-09-28T12:00:00,13170.0,13170.0,13133.0,13133.0,67967
2019-09-29T11:30:00,12999.0,12999.0,12915.0,12915.0,700
2019-09-29T12:00:00,13000.0,13000.0,12914.0,13000.0,3920
2019-09-30T09:00:00,13160.0,13160.0,13160.0,13160.0,1100
2019-09-30T09:30:00,13001.0,13159.0,13001.0,13140.0,9496
2019-09-30T10:00:00,13159.0,13170.0,13140.0,13170.0,25013
2019-09-30T10:30:00,13169.0,13173.0,13150.0,13150.0,1611
2019-09-30T11:00:00,13150.0,13173.0,13150.0,13173.0,2668
2019-09-30T11:30:00,13172.0,13188.0,13172.0,13188.0,54918
2019-09-30T12:00:00,13200.0,13500.0,13200.0,13500.0,51359
2019-10-01T09:00:00,13500.0,13560.0,13400.0,13560.0,37395
2019-10-01T09:30:00,13530.0,13540.0,13402.0,13402.0,10630
2019-10-01T10:00:00,13510.0,13570.0,13510.0,13570.0,20466
2019-10-01T10:30:00,13570.0,13689.0,13510.0,13689.0,191354
2019-10-01T11:00:00,13685.0,13690.0,13665.0,13689.0,24818
2019-10-01T11:30:00,13666.0,13685.0,13515.0,13515.0,96148
2019-10-01T12:00:00,13516.0,13516.0,13432.0,13432.0,4450
2019-10-02T09:00:00,13636.0,13636.0,13382.0,13450.0,203287
2019-10-02T09:30:00,13460.0,13601.0,13460.0,13555.0,16764
2019-10-02T10:00:00,13516.0,13646.0,13516.0,13586.0,215878
2019-10-02T10:30:00,13550.0,13586.0,13550.0,13550.0,71597
2019-10-02T11:00:00,13550.0,13580.0,13518.0,13580.0,21409
2019-10-02T11:30:00,13580.0,13580.0,13525.0,13525.0,2869
2019-10-02T12:00:00,13530.0,13580.0,13527.0,13575.0,28038
2019-10-05T09:30:00,13545.0,13545.0,13545.0,13545.0,853
2019-10-05T10:00:00,13545.0,13545.0,13545.0,13545.0,3595
2019-10-05T10:30:00,13516.0,13530.0,13492.0,13492.0,204220
2019-10-05T11:00:00,13451.0,13452.0,13451.0,13452.0,600
2019-10-05T11:30:00,13540.0,13540.0,13540.0,13540.0,280
2019-10-05T12:00:00,13540.0,13540.0,13460.0,13460.0,21867
2019-10-05T12:30:00,13505.0,13505.0,13500.0,13500.0,2270
2019-10-06T09:30:00,13496.0,13496.0,13351.0,13351.0,21003
