<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.05.09	07:20:00	1.05105	1.05127	1.05101	1.05119	183	0	0
2022.05.09	07:25:00	1.05119	1.05161	1.05116	1.05157	128	0	0
2022.05.09	07:30:00	1.05157	1.05166	1.05143	1.05145	174	0	0
2022.05.09	07:35:00	1.05146	1.05146	1.05090	1.05104	168	0	0
2022.05.09	07:40:00	1.05104	1.05125	1.05085	1.05118	224	0	0
2022.05.09	07:45:00	1.05116	1.05126	1.05107	1.05115	145	0	0
2022.05.09	07:50:00	1.05114	1.05120	1.05093	1.05106	186	0	0
2022.05.09	07:55:00	1.05106	1.05133	1.05087	1.05122	258	0	0
2022.05.09	08:00:00	1.05120	1.05120	1.05072	1.05082	338	0	0
2022.05.09	08:05:00	1.05083	1.05102	1.05072	1.05079	218	0	0
2022.05.09	08:10:00	1.05079	1.05085	1.05052	1.05075	297	0	0
2022.05.09	08:15:00	1.05073	1.05083	1.05049	1.05071	190	0	0
2022.05.09	08:20:00	1.05071	1.05071	1.05042	1.05054	215	0	0
2022.05.09	08:25:00	1.05054	1.05080	1.05032	1.05065	181	0	0
2022.05.09	08:30:00	1.05064	1.05092	1.05063	1.05064	276	0	0
2022.05.09	08:35:00	1.05066	1.05110	1.05036	1.05100	352	0	0
2022.05.09	08:40:00	1.05100	1.05116	1.05067	1.05078	332	0	0
2022.05.09	08:45:00	1.05079	1.05079	1.05044	1.05061	248	0	0
2022.05.09	08:50:00	1.05058	1.05079	1.05042	1.05078	273	0	0
2022.05.09	08:55:00	1.05078	1.05088	1.05047	1.05078	400	0	0
2022.05.09	09:00:00	1.05078	1.05133	1.05066	1.05132	411	0	0
2022.05.09	09:05:00	1.05132	1.05144	1.05066	1.05114	516	0	0
2022.05.09	09:10:00	1.05113	1.05131	1.05075	1.05089	579	0	0
2022.05.09	09:15:00	1.05089	1.05109	1.05067	1.05092	437	0	0
2022.05.09	09:20:00	1.05092	1.05093	1.05054	1.05077	390	0	0
2022.05.09	09:25:00	1.05076	1.05124	1.05060	1.05102	383	0	0
2022.05.09	09:30:00	1.05103	1.05110	1.05068	1.05084	376	0	0
2022.05.09	09:35:00	1.05084	1.05118	1.05078	1.05101	379	0	0
2022.05.09	09:40:00	1.05101	1.05101	1.05044	1.05048	342	0	0
2022.05.09	09:45:00	1.05049	1.05071	1.05037	1.05056	293	0	0
2022.05.09	09:50:00	1.05056	1.05056	1.04954	1.04955	541	0	0
2022.05.09	09:55:00	1.04954	1.05042	1.04954	1.05032	504	0	0
2022.05.09	10:00:00	1.05032	1.05091	1.04982	1.05075	761	0	0
2022.05.09	10:05:00	1.05075	1.05086	1.05047	1.05049	453	0	0
2022.05.09	10:10:00	1.05048	1.05196	1.05047	1.05169	719	0	0
2022.05.09	10:15:00	1.05168	1.05168	1.05107	1.05134	725	0	0
2022.05.09	10:20:00	1.05133	1.05170	1.05035	1.05037	699	0	0
2022.05.09	10:25:00	1.05041	1.05212	1.05029	1.05173	936	0	0
2022.05.09	10:30:00	1.05172	1.05246	1.05118	1.05217	971	0	0
2022.05.09	10:35:00	1.05215	1.05285	1.05213	1.05284	799	0	0
2022.05.09	10:40:00	1.05284	1.05295	1.05164	1.05168	767	0	0
2022.05.09	10:45:00	1.05168	1.05219	1.05162	1.05217	567	0	0
2022.05.09	10:50:00	1.05215	1.05221	1.05073	1.05090	698	0	0
2022.05.09	10:55:00	1.05090	1.05134	1.05060	1.05122	756	0	0
2022.05.09	11:00:00	1.05119	1.05138	1.05078	1.05101	553	0	0
2022.05.09	11:05:00	1.05101	1.05205	1.05092	1.05168	458	0	0
2022.05.09	11:10:00	1.05168	1.05174	1.05118	1.05157	531	0	0
2022.05.09	11:15:00	1.05157	1.05173	1.05109	1.05115	452	0	0
2022.05.09	11:20:00	1.05115	1.05139	1.05091	1.05093	531	0	0
2022.05.09	11:25:00	1.05094	1.05169	1.05086	1.05162	724	0	0
2022.05.09	11:30:00	1.05159	1.05164	1.05083	1.05116	742	0	0
2022.05.09	11:35:00	1.05116	1.05140	1.05090	1.05106	511	0	0
2022.05.09	11:40:00	1.05105	1.05110	1.05057	1.05071	285	0	0
2022.05.09	11:45:00	1.05071	1.05078	1.05022	1.05023	348	0	0
2022.05.09	11:50:00	1.05023	1.05101	1.05013	1.05098	494	0	0
2022.05.09	11:55:00	1.05098	1.05115	1.05060	1.05077	489	0	0
2022.05.09	12:00:00	1.05077	1.05135	1.05050	1.05124	382	0	0
2022.05.09	12:05:00	1.05125	1.05173	1.05105	1.05145	531	0	0
2022.05.09	12:10:00	1.05145	1.05176	1.05140	1.05150	366	0	0
2022.05.09	12:15:00	1.05150	1.05174	1.05112	1.05162	443	0	0
2022.05.09	12:20:00	1.05161	1.05173	1.05144	1.05154	437	0	0
2022.05.09	12:25:00	1.05154	1.05155	1.05071	1.05091	358	0	0
2022.05.09	12:30:00	1.05091	1.05101	1.05074	1.05100	410	0	0
2022.05.09	12:35:00	1.05100	1.05124	1.05095	1.05108	293	0	0
2022.05.09	12:40:00	1.05108	1.05179	1.05100	1.05158	315	0	0
2022.05.09	12:45:00	1.05158	1.05260	1.05152	1.05254	478	0	0
2022.05.09	12:50:00	1.05254	1.05273	1.05220	1.05225	450	0	0
2022.05.09	12:55:00	1.05225	1.05303	1.05218	1.05279	388	0	0
