Date,Open,High,Low,Close,Adj Close,Volume,BBL,BBM,BBH,BBB_30_2.0,BBP_30_2.0,RSI,atr,BB_WIDTH
2011-01-03,1415.6,1423.9,1413.7,1422.6,1422.6,28.0,,,,,,,,
2011-01-04,1409.6,1410.9,1375.8,1378.5,1378.5,122.0,,,,,,,,
2011-01-05,1383.4,1384.0,1364.2,1373.4,1373.4,175.0,,,,,,,,
2011-01-06,1374.8,1376.5,1368.9,1371.4,1371.4,158.0,,,,,,,,
2011-01-07,1372.7,1377.2,1355.5,1368.5,1368.5,225.0,,,,,,,,
2011-01-10,1369.0,1374.0,1365.7,1373.7,1373.7,181.0,,,,,,,,
2011-01-11,1375.4,1384.5,1373.9,1384.0,1384.0,13.0,,,,,,,,
2011-01-12,1382.6,1385.5,1378.0,1385.7,1385.7,204.0,,,,,,,,
2011-01-13,1386.1,1392.5,1371.4,1386.9,1386.9,66.0,,,,,,,,
2011-01-14,1375.0,1376.0,1356.7,1360.4,1360.4,252.0,,,,,,,,
2011-01-17,,,,,,,,,,,,,,
2011-01-18,1365.1,1371.0,1359.2,1368.1,1368.1,106.0,,,,,,,,
2011-01-19,1371.9,1376.2,1367.0,1370.2,1370.2,40.0,,,,,,,,
2011-01-20,1367.7,1367.7,1345.0,1346.5,1346.5,10.0,,,,,,,,
2011-01-21,1341.7,1345.6,1338.6,1341.0,1341.0,20.0,,,,,,,,
2011-01-24,1352.3,1352.3,1341.8,1344.5,1344.5,2.0,,,,,,,15.9632,
2011-01-25,1330.4,1331.5,1323.6,1332.3,1332.3,394.0,,,,,,16.2322,16.5069,
2011-01-26,1333.0,1341.7,1333.0,1333.0,1333.0,4.0,,,,,,16.9814,15.7534,
2011-01-27,1342.0,1342.0,1318.4,1318.4,1318.4,210699.0,,,,,,14.1404,16.5575,
2011-01-28,1314.0,1346.6,1307.7,1340.7,1340.7,73023.0,,,,,,32.6695,18.7779,
2011-01-31,1339.0,1345.9,1323.3,1333.8,1333.8,13657.0,,,,,,30.4778,19.1474,
2011-02-01,1333.1,1342.9,1325.3,1339.6,1339.6,3180.0,,,,,,34.4581,19.0015,
2011-02-02,1344.0,1344.0,1327.0,1331.5,1331.5,1363.0,,,,,,31.7263,18.817,
2011-02-03,1335.6,1355.8,1324.9,1352.3,1352.3,1865.0,,,,,,44.0033,19.9083,
2011-02-04,1354.8,1360.0,1345.0,1348.3,1348.3,591.0,,,,,,42.4234,19.4732,
2011-02-07,1345.8,1353.8,1343.8,1347.6,1347.6,1004.0,,,,,,42.1382,18.6477,
2011-02-08,1351.2,1367.0,1350.0,1363.4,1363.4,2536.0,,,,,,50.2638,18.7122,
2011-02-09,1362.8,1366.5,1359.6,1364.8,1364.8,146.0,,,,,,50.9214,17.7132,
2011-02-10,1364.3,1364.5,1351.7,1361.9,1361.9,312.0,,,,,,49.4624,17.3281,
2011-02-11,1364.0,1368.8,1355.2,1359.9,1359.9,488.0,,,,,,48.4318,17.0206,
2011-02-14,1357.8,1365.6,1356.6,1364.6,1364.6,181.0,,,,,,51.0149,16.3662,
2011-02-15,1361.6,1376.0,1361.6,1373.6,1373.6,321.0,,,,,,55.6012,16.2074,
2011-02-16,1373.6,1382.0,1370.5,1374.7,1374.7,156.0,,,,,,56.1417,15.8307,
2011-02-17,1377.7,1384.7,1377.0,1384.7,1384.7,113.0,,,,,,60.8122,15.3682,
2011-02-18,1384.1,1391.8,1381.8,1388.2,1388.2,98.0,,,,,,62.3245,14.9456,
2011-02-21,,,,,,,,,,,,62.3245,14.9456,
2011-02-22,1395.1,1408.7,1395.1,1400.5,1400.5,430.0,,,,,,62.3245,14.833,
2011-02-23,1397.8,1413.8,1397.8,1413.4,1413.4,318.0,,,,,,68.0077,14.9295,
2011-02-24,1415.1,1415.3,1408.3,1415.3,1415.3,809.0,,,,,,68.7553,14.2814,
2011-02-25,1401.7,1411.0,1401.0,1408.7,1408.7,352.0,,,,,,63.2281,14.2829,
2011-02-28,1410.7,1415.7,1407.7,1409.3,1409.3,205.0,,,,,,63.5153,13.7795,
2011-03-01,1415.3,1434.4,1415.3,1430.7,1430.7,116.0,,,,,,71.9334,14.6788,
2011-03-02,1432.5,1440.5,1428.8,1437.2,1437.2,1600.0,,,,,,73.903,14.444,
2011-03-03,1432.3,1432.3,1415.9,1416.0,1416.0,244.0,,,,,,59.2889,14.9804,
2011-03-04,1418.9,1429.8,1416.8,1428.2,1428.2,60.0,,,,,,63.7334,14.8887,
2011-03-07,1434.5,1445.0,1429.5,1434.1,1434.1,613.0,,,,,,65.6845,15.0363,
2011-03-08,1431.6,1432.6,1424.3,1426.9,1426.9,198.0,,,,,,61.3472,14.6342,
2011-03-09,1430.0,1435.7,1426.1,1429.3,1429.3,98.0,,,,,,62.2422,14.2498,
2011-03-10,1429.5,1429.8,1403.8,1412.2,1412.2,23.0,,,,,,52.8517,15.1427,
2011-03-11,1413.7,1422.6,1404.9,1421.5,1421.5,23.0,,,,,,56.6797,15.3362,
2011-03-14,1420.0,1427.7,1420.0,1424.6,1424.6,58.0,,,,,,57.9065,14.7609,
2011-03-15,1413.3,1413.3,1385.5,1392.6,1392.6,20.0,,,,,,44.0415,16.5872,
2011-03-16,1398.0,1404.2,1394.3,1396.0,1396.0,38.0,,,,,,45.5337,16.2144,
2011-03-17,1387.7,1393.6,1387.7,1404.0,1404.0,27.0,,,,,,48.9811,15.6246,
2011-03-18,1406.4,1419.3,1406.4,1415.9,1415.9,6.0,,,,,,53.6779,15.6005,
2011-03-21,1433.5,1433.5,1430.8,1426.2,1426.2,43.0,,,,,,57.3386,15.7486,
2011-03-23,1432.2,1439.7,1432.2,1437.9,1437.9,19.0,,,,,,61.0994,15.5825,
2011-03-24,1437.7,1446.9,1437.5,1434.8,1434.8,27.0,,,,,,59.6003,15.1268,
2011-03-28,1413.2,1415.6,1413.2,1419.8,1419.8,6.0,,,,,,52.8438,15.6028,
2011-03-30,1418.7,1430.3,1412.0,1423.8,1423.8,47011.0,,,,,,54.3306,15.8008,
2011-03-31,1423.3,1440.0,1420.7,1438.9,1438.9,8230.0,,,,,,59.5193,16.057,
2011-04-01,1433.4,1436.5,1413.0,1428.1,1428.1,5318.0,,,,,,54.7298,16.7766,
2011-04-04,1429.1,1439.1,1428.8,1432.2,1432.2,683.0,,,,,,56.1717,16.355,
2011-04-05,1437.9,1457.6,1430.3,1451.8,1451.8,2609.0,,,,,,62.346,17.1525,
2011-04-06,1456.9,1462.3,1452.0,1457.7,1457.7,901.0,,,,,,63.9905,16.6685,
2011-04-07,1459.7,1462.5,1453.9,1458.5,1458.5,229.0,1392.0637,1424.2033,1456.3429,4.5133,1.0336,64.2187,16.0822,0.0451
2011-04-08,1457.6,1475.5,1457.5,1473.4,1473.4,1407.0,1391.1773,1426.6333,1462.0893,4.9706,1.1595,68.2538,16.2214,0.0497
2011-04-11,1476.0,1476.0,1459.7,1467.4,1467.4,378.0,1390.4543,1428.4333,1466.4124,5.3176,1.013,65.0715,16.2271,0.0532
2011-04-12,1461.8,1467.2,1444.4,1452.9,1452.9,345.0,1391.048,1429.6867,1468.3253,5.4052,0.8004,58.03,16.7175,0.0541
2011-04-13,1455.0,1462.0,1454.0,1454.9,1454.9,197.0,1392.3745,1431.2267,1470.0789,5.4292,0.8047,58.6939,16.1664,0.0543
2011-04-14,1456.8,1476.0,1452.7,1471.7,1471.7,535.0,1392.7296,1433.3067,1473.8837,5.662,0.9731,63.8651,16.682,0.0566
2011-04-15,1477.6,1487.5,1473.2,1485.3,1485.3,293.0,1390.4861,1435.1267,1479.7673,6.2211,1.062,67.4208,16.6184,0.0622
2011-04-18,1486.3,1497.3,1477.5,1492.3,1492.3,650.0,1387.8252,1436.9633,1486.1015,6.8392,1.0631,69.1059,16.8479,0.0684
2011-04-19,1493.3,1499.5,1489.0,1494.5,1494.5,168.0,1386.9495,1439.58,1492.2105,7.3119,1.0218,69.6374,16.3902,0.0731
2011-04-20,1494.0,1505.3,1494.0,1498.3,1498.3,386.0,1385.4313,1441.9167,1498.4021,7.8348,0.9991,70.579,16.0234,0.0783
2011-04-21,1503.7,1508.3,1501.7,1503.2,1503.2,237.0,1383.7057,1444.22,1504.7343,8.3802,0.9873,71.7937,15.5897,0.0838
2011-04-22,,,,,,,,,,,,71.7937,15.5897,
2011-04-25,1513.3,1518.0,1502.8,1508.6,1508.6,233.0,,,,,,71.7937,15.5596,
2011-04-26,1501.5,1506.3,1495.0,1503.0,1503.0,223.0,,,,,,67.7982,15.4094,
2011-04-27,1507.1,1512.8,1505.2,1516.7,1516.7,460.0,,,,,,71.916,14.9817,
2011-04-28,1528.6,1536.0,1526.6,1530.8,1530.8,425.0,,,,,,75.4022,15.3094,
2011-04-29,1538.7,1568.7,1537.3,1556.0,1556.0,124.0,,,,,,80.1459,17.016,
2011-05-02,1572.9,1576.6,1543.1,1556.7,1556.7,200.0,,,,,,80.2598,18.2563,
2011-05-03,1542.5,1547.0,1527.5,1540.1,1540.1,246.0,,,,,,70.005,19.0765,
2011-05-04,1535.0,1539.0,1506.2,1514.9,1514.9,272.0,,,,,,57.9088,20.1836,
2011-05-05,1514.7,1520.7,1471.0,1480.9,1480.9,133.0,,,,,,46.2876,22.381,
2011-05-06,1473.2,1494.8,1472.3,1491.2,1491.2,144.0,,,,,,49.5881,22.3899,
2011-05-09,1501.5,1512.8,1501.3,1502.9,1502.9,44.0,,,,,,53.1126,22.3314,
2011-05-10,1508.4,1516.9,1508.4,1516.6,1516.6,13.0,,,,,,56.9114,21.7163,
2011-05-11,1524.0,1524.1,1495.2,1501.1,1501.1,30.0,,,,,,51.7981,22.2454,
2011-05-12,1492.1,1498.5,1484.8,1506.6,1506.6,11.0,,,,,,53.3981,21.8085,
2011-05-13,1503.5,1511.3,1490.2,1493.4,1493.4,16.0,,,,,,49.1789,21.7565,
2011-05-16,1489.3,1494.9,1489.3,1490.4,1490.4,10.0,,,,,,48.2459,20.574,
2011-05-17,1489.8,1491.8,1473.0,1479.8,1479.8,41.0,,,,,,44.9975,20.4444,
